Body Name,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1700178266,Adswood Lodge Health Care Ltd,"-£5,268.98"
Manchester City Council,Corporate Services,Professional fees,01/10/2024,5105952354,Mace Ltd,"-£5,318.00"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616462,Appleby Court,"-£5,415.26"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616463,Appleby Court,"-£5,415.26"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616464,Appleby Court,"-£5,415.26"
Manchester City Council,Corporate Services,Landline Telephone,17/10/2024,5105955289,8x8 UK Ltd,"-£5,508.96"
Manchester City Council,Corporate Services,Landline Telephone,17/10/2024,5105955286,8x8 UK Ltd,"-£5,508.96"
Manchester City Council,Corporate Services,Landline Telephone,17/10/2024,5105955218,8x8 UK Ltd,"-£5,508.96"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178432,Wellington Lodge Rest Home,"-£5,531.01"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178360,The National Autistic Society,"-£5,533.11"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,25/10/2024,5105956766,Rochdale Mbc,"-£5,569.98"
Manchester City Council,Corporate Services,Elec Car Lease,23/10/2024,1700178147,Northumbria Healthcare NHS FT,"-£5,681.25"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616339,Clifton House,"-£5,696.38"
Manchester City Council,Adult Social Care,Charges for Supp Acc,09/10/2024,1908599453,Creative Support Ltd,"-£5,774.04"
Manchester City Council,Manchester Leisure,Professional fees,18/10/2024,5105955598,T 3 Events,"-£5,800.00"
Manchester City Council,Adult Social Care,Supported Accommodation,21/10/2024,1700178135,City Care Partnership Ltd,"-£5,954.08"
Manchester City Council,Manchester Leisure,Grounds Maintenance,03/10/2024,5105952677,Tivoli Group Ltd,"-£5,961.75"
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,31/10/2024,5105957679,Tivoli Group Ltd,"-£5,961.75"
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,31/10/2024,5105957678,Tivoli Group Ltd,"-£5,961.75"
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,31/10/2024,5105957680,Tivoli Group Ltd,"-£5,961.75"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178257,Moor Care (Registered) Ltd,"-£6,207.43"
Manchester City Council,Manchester Leisure,Electricity,10/10/2024,1700177765,Haven Power Ltd,"-£6,250.40"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,29/10/2024,5105957222,MS Minibuses Ltd,"-£6,341.89"
Manchester City Council,Corporate Services,Electricity,10/10/2024,1700177750,Haven Power Ltd,"-£6,464.80"
Manchester City Council,Adult Social Care,Perm Res Home Care,25/10/2024,1908616339,Clifton House,"-£6,710.24"
Manchester City Council,Adult Social Care,Charges for Supp Acc,02/10/2024,1908592788,Pro Support Limited,"-£6,873.60"
Manchester City Council,Adult Social Care,Charges for Supp Acc,14/10/2024,1908603798,Future Directions CIC,"-£7,016.18"
Manchester City Council,Adult Social Care,Charges for Supp Acc,21/10/2024,1908611826,Gian Healthcare Ltd,"-£7,201.62"
Manchester City Council,Manchester Leisure,Gas,24/10/2024,1700178185,SEFE ENERGY Ltd,"-£7,269.30"
Manchester City Council,Manchester Leisure,Gas,24/10/2024,1700178186,SEFE ENERGY Ltd,"-£7,421.04"
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,17/10/2024,5105955418,My Sports Turf,"-£7,500.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178310,Brocklehurst Nursing Home,"-£7,551.40"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616343,Richmond Care,"-£7,589.74"
Manchester City Council,Highways Services,Professional fees,09/10/2024,5105953918,Waterman Infrastructure and,"-£7,656.00"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908615986,Adswood Lodge Health Care Ltd,"-£7,673.66"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,25/10/2024,5105956658,Rochdale Mbc,"-£7,814.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178333,Gorton Parks Res.& Nursing Home,"-£7,845.23"
Manchester City Council,Adult Social Care,RNH Permanent Pays,25/10/2024,1700178456,Appleby Court,"-£7,871.42"
Manchester City Council,Highways Services,CAMC/Not assigned,10/10/2024,5105953973,Rosgal Ltd,"-£8,250.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,01/10/2024,1908590349,Thames Health Care Limited,"-£8,267.98"
Manchester City Council,Environment and Operations,Construction Works,15/10/2024,5105954833,J.Hopkins (Contractors) Ltd.,"-£8,355.51"
Manchester City Council,Highways Services,Payments to Sub-Contractors,02/10/2024,5105952737,Northern Marking Limited,"-£8,432.16"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616242,Heightside House Nursing Home,"-£8,436.76"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616461,Homesend Ltd,"-£8,579.70"
Manchester City Council,Manchester Leisure,Professional Fees,11/10/2024,5105954410,Savills (UK) Ltd,"-£8,640.00"
Manchester City Council,Manchester Leisure,I T Provision,28/10/2024,5105957220,Local Data Company Ltd,"-£8,650.00"
Manchester City Council,Childrens & Education Services,Rents,17/10/2024,1700178122,Castlefield Hotel Ltd,"-£8,993.63"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616135,Chataway Nursing Home,"-£9,012.30"
Manchester City Council,Adult Social Care,Charges for Supp Acc,31/10/2024,1908622536,Magic Life Limited,"-£9,413.62"
Manchester City Council,Adult Social Care,Charges for Supp Acc,02/10/2024,1908592832,Magic Life Limited,"-£9,413.62"
Manchester City Council,Adult Social Care,Charges for Supp Acc,31/10/2024,1908622535,Magic Life Limited,"-£9,413.62"
Manchester City Council,Hospitality + Trading Services,External repairs and maintenance for buildings,24/10/2024,5105956464,Electricity NW Construction & Maint,"-£9,484.92"
Manchester City Council,Adult Social Care,Perm Res Home Care,25/10/2024,1908616079,Deafway,"-£9,507.14"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,25/10/2024,5105956759,WSP UK Limited,"-£9,690.00"
Manchester City Council,Not assigned,Refund AR overpaids,10/10/2024,1700177949,Urban Splash,"-£9,720.77"
Manchester City Council,Adult Social Care,Perm Res Home Care,25/10/2024,1908616164,Care Success Services Ltd,"-£9,931.64"
Manchester City Council,Regeneration Finance,Public Transport,02/10/2024,5105952716,Greater Manchester Travelcards Ltd,"-£9,996.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178258,Moor Care (Registered) Ltd,"-£10,224.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,25/10/2024,1700178259,Moor Care (Registered) Ltd,"-£10,224.00"
Manchester City Council,Adult Social Care,Supported Accommodation,21/10/2024,1700178136,City Care Partnership Ltd,"-£10,419.36"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616154,Church Walk Healthcare Ltd,"-£10,749.43"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,23/10/2024,5105956435,Stockport Metropolitan Borough,"-£10,982.63"
Manchester City Council,Corporate Services,Fees,04/10/2024,1908584427,Marston Group Limited,"-£11,205.95"
Manchester City Council,Adult Social Care,Perm Res Home Care,25/10/2024,1908616342,Remake Care Ltd,"-£11,460.76"
Manchester City Council,Corporate Services,Elec Car L-VAT contr,23/10/2024,1700178146,Northumbria Healthcare NHS FT,"-£11,506.51"
Manchester City Council,Not assigned,VAT Input Tax,23/10/2024,1908614700,Northumbria Healthcare NHS FT,"-£11,506.52"
Manchester City Council,Not assigned,VAT Input Tax,23/10/2024,1700178146,Northumbria Healthcare NHS FT,"-£11,506.65"
Manchester City Council,Highways Services,Professional fees,09/10/2024,5105953919,Waterman Infrastructure and,"-£11,616.05"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,24/10/2024,5105956183,Turner & Townsend Cost,"-£11,678.43"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,31/10/2024,5105955474,Greater Manchester Mental Health,"-£11,763.00"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,31/10/2024,5105955472,Greater Manchester Mental Health,"-£11,763.00"
Manchester City Council,Adult Social Care,Temp Care - Nursing,25/10/2024,1700178322,Doves Nest Ltd,"-£11,835.29"
Manchester City Council,Childrens & Education Services,General Payments not otherwise categorised,09/10/2024,5105953796,Manchester Mind,"-£12,056.01"
Manchester City Council,Childrens & Education Services,General Payments not otherwise categorised,09/10/2024,5105953821,Manchester Mind,"-£12,056.01"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616319,Oakland House,"-£12,602.60"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,10/10/2024,5105954054,Corstorphine & Wright Limited,"-£13,000.00"
Manchester City Council,Corporate Services,Collection Commision,28/10/2024,5105957064,Verrus (UK) T/A paybyphone,"-£13,493.67"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,10/10/2024,5105954053,Corstorphine & Wright Limited,"-£13,728.00"
Manchester City Council,Corporate Services,Collection Commision,31/10/2024,5105957451,Verrus (UK) T/A paybyphone,"-£13,891.00"
Manchester City Council,Adult Social Care,Supporting People Payments,17/10/2024,5105955212,Richmond Fellowship,"-£14,222.51"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,04/10/2024,5105953348,EQUANS Regeneration Limited,"-£14,750.90"
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,29/10/2024,5105957307,Standard Fuels Oils,"-£14,915.70"
Manchester City Council,Corporate Services,Landline Telephone,31/10/2024,1700178608,BT PLC,"-£15,113.77"
Manchester City Council,Corporate Services,External repairs and maintenance for buildings,31/10/2024,5105955889,WSP UK Limited,"-£15,790.00"
Manchester City Council,Childrens & Education Services,Training and Development,14/10/2024,5105954499,Central Mcr Uni Hospital t/a,"-£15,800.00"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,31/10/2024,5105957530,K L Properties,"-£15,982.00"
Manchester City Council,Chief Executives,I T Provision,17/10/2024,5105955471,Civica Election Services,"-£16,750.00"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,10/10/2024,5105954055,Corstorphine & Wright Limited,"-£16,848.00"
Manchester City Council,Highways Services,Professional Fees,25/10/2024,5105956699,Wilde Consultants Ltd,"-£16,921.64"
Manchester City Council,Adult Social Care,Charges for Supp Acc,21/10/2024,1908611826,Gian Healthcare Ltd,"-£18,474.76"
Manchester City Council,Adult Social Care,Perm Nurse Home Care,25/10/2024,1908616343,Richmond Care,"-£18,943.56"
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,01/10/2024,5105952304,Standard Fuels Oils,"-£19,398.62"
