Body Name,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Environment and Operations,Construction Works,25/11/2024,5105962144,Henderson Thomas Associates Ltd,"£21,467.82"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642329,CAS Care Services,"£21,441.76"
Manchester City Council,Not assigned,M/c Credit Union,04/11/2024,1908624437,Manchester Credit Union,"£21,417.60"
Manchester City Council,Adult Social Care,Supported Accommodation,04/11/2024,1908624135,Standwalk Ltd,"£21,396.90"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,25/11/2024,5105961622,Tameside Metropolitan Bouough,"£21,349.86"
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,28/11/2024,5105963396,Next Energy Solutions Ltd,"£21,315.84"
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,20/11/2024,5105961357,Next Energy Solutions Ltd,"£21,315.84"
Manchester City Council,Childrens & Education Services,Payments for services,18/11/2024,5105960763,HM Prison and Probation Service,"£21,288.00"
Manchester City Council,Childrens & Education Services,Payments for services,18/11/2024,5105960744,HM Prison and Probation Service,"£21,288.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908629800,Crystal Care Solutions Ltd,"£21,278.40"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630020,The Together Trust,"£21,257.01"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908629919,Social Care Services Ltd,"£21,257.01"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630018,The Together Trust,"£21,257.01"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630016,The Together Trust,"£21,257.01"
Manchester City Council,Adult Social Care,Supported Accommodation,22/11/2024,5105961933,Mediline Supported Living,"£21,239.05"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630027,Roc Northwest Ltd,"£21,214.29"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630028,Roc Northwest Ltd,"£21,214.29"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642581,Springcare (Wythenshaw) LTD,"£21,200.00"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,08/11/2024,5105958890,42nd Street,"£21,080.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642274,Ashley House Rest Home,"£21,045.48"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,20/11/2024,5105960622,Caritas Diocese of Salford,"£21,041.00"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,28/11/2024,5105963479,Community Security (North West),"£21,000.00"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,26/11/2024,5105962500,Deloitte & Touche Llp,"£21,000.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642404,Doves Nest Ltd,"£20,989.12"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,25/11/2024,5105962384,On The Out CIC,"£20,985.58"
Manchester City Council,Manchester Leisure,Grounds Maintenance,25/11/2024,5105962183,Redgate Holdings Ltd,"£20,967.60"
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,28/11/2024,5105963175,Next Energy Solutions Ltd,"£20,954.35"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,22/11/2024,1908643016,Family Care Associates Ltd,"£20,836.80"
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,28/11/2024,5105963131,Central Mcr Uni Hospital t/a,"£20,833.34"
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,29/11/2024,5105963133,Central Mcr Uni Hospital t/a,"£20,833.33"
Manchester City Council,Childrens & Education Services,Court Fees,25/11/2024,1908644084,Liberata,"£20,821.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,12/11/2024,1908631336,The Together Trust,"£20,814.33"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642606,Serence HC UK Ltd,"£20,788.16"
Manchester City Council,Environment and Operations,Construction Works,06/11/2024,5105958425,J.Hopkins (Contractors) Ltd.,"£20,769.25"
Manchester City Council,Housing General Fund,Building Works,19/11/2024,1908639044,UPS Building & Maintenance Ltd,"£20,678.08"
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,12/11/2024,1908631570,Heaton Park View Nursery,"£20,639.68"
Manchester City Council,Adult Social Care,Supported Accommodation,04/11/2024,1908624093,Creative Support Ltd,"£20,397.36"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642608,St Euphrasias Nursing Home,"£20,397.12"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642720,Standwalk Ltd,"£20,366.64"
Manchester City Council,Childrens & Education Services,Supported Accommodation,20/11/2024,1908640514,Rest & Recharge Properties Ltd,"£20,250.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,01/11/2024,1908623159,Family Care Associates Ltd,"£20,236.49"
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,20/11/2024,5105960882,Great Places Housing Association,"£20,096.98"
Manchester City Council,Environment and Operations,Construction Works,29/11/2024,5105963087,J.Hopkins (Contractors) Ltd.,"£20,056.00"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,29/11/2024,5105963105,Central Mcr Uni Hospital t/a,"£20,052.67"
Manchester City Council,Adult Social Care,Supported Accommodation,11/11/2024,1908629032,Future Directions CIC,"£20,039.52"
Manchester City Council,Childrens & Education Services,Payments for services,13/11/2024,5105960033,HM Prison and Probation Service,"£20,016.00"
Manchester City Council,Manchester Leisure,Third party payments to Health Authority,22/11/2024,5105961272,Humans MCR,"£20,000.00"
Manchester City Council,Manchester Leisure,Professional Fees,26/11/2024,5105962710,Daly Drains Ltd,"£20,000.00"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,28/11/2024,5105963501,Community Security (North West),"£20,000.00"
Manchester City Council,Housing General Fund,Building Works,01/11/2024,1908623182,Pollock Lifts Ltd,"£19,987.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642399,Care Success Services Ltd,"£19,863.28"
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,12/11/2024,1908630743,Merry Kidz Childcare Ltd,"£19,839.65"
Manchester City Council,Childrens & Education Services,Home Care ,12/11/2024,5105959752,Staff Resources Ltd,"£19,711.50"
Manchester City Council,Adult Social Care,Temp Care- Resident,22/11/2024,1908642334,Byron Lodge,"£19,701.04"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,04/11/2024,5105957896,T15 Consultancy Ltd,"£19,699.33"
Manchester City Council,Manchester Leisure,Special Event,28/11/2024,5105962649,Hardstaff Barriers,"£19,653.36"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630086,Keys Group Progressive Care,"£19,652.45"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642514,Care Concepts Ltd,"£19,600.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642457,Southfields Care Homes Ltd,"£19,538.12"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642391,Clifton House,"£19,520.04"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642404,Doves Nest Ltd,"£19,514.60"
Manchester City Council,Hospitality + Trading Services,Electricity,14/11/2024,1908636188,Haven Power Ltd,"£19,488.38"
Manchester City Council,Housing General Fund,Building Works,13/11/2024,5105960093,Great Places Housing Association,"£19,440.96"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642552,Northenden House,"£19,431.16"
Manchester City Council,Regeneration Finance,Electricity,14/11/2024,1908636270,Haven Power Ltd,"£19,387.08"
Manchester City Council,Highways Services,Payments to Sub-Contractors,08/11/2024,5105958696,GMCA,"£19,368.12"
Manchester City Council,Childrens & Education Services,Carer Support Payments ,11/11/2024,1908629971,Positive Care Solutions Ltd,"£19,300.00"
Manchester City Council,Childrens & Education Services,Carer Support Payments ,29/11/2024,1908657459,Positive Care Solutions Ltd,"£19,300.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642537,Moston Grange,"£19,250.80"
Manchester City Council,Corporate Services,Licences Purchase,15/11/2024,5105960396,XMA Limited,"£19,250.00"
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,12/11/2024,1908631597,Little Learning Ladder,"£19,243.57"
Manchester City Council,Adult Social Care,Supported Accommodation,04/11/2024,1908624082,Creative Support Ltd,"£19,241.76"
Manchester City Council,Adult Social Care,Supported Accommodation,04/11/2024,1908624124,Mediline Supported Living,"£19,132.80"
Manchester City Council,Adult Social Care,Supported Accommodation,29/11/2024,1908657612,Mediline Supported Living,"£19,132.80"
Manchester City Council,Adult Social Care,Supported Accommodation,29/11/2024,1908657611,Mediline Supported Living,"£19,132.80"
Manchester City Council,Adult Social Care,Supported Accommodation,29/11/2024,1908657610,Mediline Supported Living,"£19,132.80"
Manchester City Council,Adult Social Care,Supported Accommodation,29/11/2024,1908657608,Mediline Supported Living,"£19,131.96"
Manchester City Council,Adult Social Care,Supported Accommodation,29/11/2024,1908657606,Mediline Supported Living,"£19,131.96"
Manchester City Council,Adult Social Care,Supported Accommodation,29/11/2024,1908657607,Mediline Supported Living,"£19,131.96"
Manchester City Council,Adult Social Care,Supported Accommodation,29/11/2024,1908657604,Mediline Supported Living,"£19,131.20"
Manchester City Council,Adult Social Care,Supported Accommodation,29/11/2024,1908657602,Mediline Supported Living,"£19,131.20"
Manchester City Council,Adult Social Care,Supported Accommodation,29/11/2024,1908657603,Mediline Supported Living,"£19,131.20"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,06/11/2024,5105958266,Barlow Moor Community Association,"£19,121.00"
Manchester City Council,Childrens & Education Services,Payments for services,07/11/2024,5105958925,4CT Limited,"£19,100.72"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630089,Kedleston Wood Grove Childcare Ltd,"£19,091.70"
Manchester City Council,Regeneration Finance,Professional fees,08/11/2024,1908627145,BT Ltd,"£19,065.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642323,Deafway,"£19,014.28"
Manchester City Council,Environment and Operations,Construction Works,18/11/2024,5105960355,AECOM Limited,"£18,975.00"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,11/11/2024,5105958704,Rider Levett Bucknall UK Ltd,"£18,975.00"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,12/11/2024,5105959615,The Together Trust,"£18,948.62"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642519, Mary & Joseph House,"£18,931.60"
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,20/11/2024,5105960458,Standard Fuels Oils,"£18,927.40"
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,20/11/2024,5105960252,Standard Fuels Oils,"£18,903.89"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642329,CAS Care Services,"£18,833.44"
Manchester City Council,Adult Social Care,Supported Accommodation,04/11/2024,1908624079,Creative Support Ltd,"£18,798.64"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105960402,EQUANS Regeneration Limited,"£18,790.71"
Manchester City Council,Adult Social Care,Supported Accommodation,04/11/2024,1908624133,Standwalk Ltd,"£18,754.04"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908629782,Care Today (Childrens Services) Ltd,"£18,724.62"
Manchester City Council,Manchester Leisure,Special Event,08/11/2024,5105959076,Manchester Central,"£18,650.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,01/11/2024,1908623089,Redacted Personal Information,"£18,600.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908629839,Redacted Personal Information,"£18,600.00"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,26/11/2024,5105962394,The Shaw Centre,"£18,519.87"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,12/11/2024,1908631321,Social Care Services Ltd,"£18,514.17"
Manchester City Council,Childrens & Education Services,Professional fees,28/11/2024,5105963160,AECOM Limited,"£18,461.00"
Manchester City Council,Manchester Leisure,Catering,22/11/2024,5105961816,Hilton Manchester Deansgate,"£18,458.33"
Manchester City Council,Adult Social Care,Supported Accommodation,04/11/2024,1908624116,Turning Point (Services) Limited,"£18,429.84"
Manchester City Council,Corporate Services,Fees,13/11/2024,1908630515,Jacobs Enforcement Ltd,"£18,400.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642514,Care Concepts Ltd,"£18,400.00"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,26/11/2024,5105962644,Carrington Riding Centre,"£18,333.33"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,22/11/2024,1908642941,Progressive Care Ltd,"£18,324.81"
Manchester City Council,Chief Executives,Grant Payments,14/11/2024,5105959582,NLA Media Access Ltd,"£18,282.71"
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,28/11/2024,5105962349,Standard Fuels Oils,"£18,221.17"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642288,Redacted Personal Information,"£18,200.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642292,Redacted Personal Information,"£18,200.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642291,Redacted Personal Information,"£18,200.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642290,Redacted Personal Information,"£18,200.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642289,Redacted Personal Information,"£18,200.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642293,Redacted Personal Information,"£18,200.00"
Manchester City Council,Manchester Leisure,Electricity,14/11/2024,1908636254,Haven Power Ltd,"£18,168.77"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,18/11/2024,5105960755,Redacted Personal Information,"£18,112.00"
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,20/11/2024,5105960716,DISC Ltd,"£18,099.50"
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,08/11/2024,5105958955,DISC Ltd,"£18,099.50"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642614,Thames Health Care Limited,"£18,052.56"
Manchester City Council,Adult Social Care,Home Care ,20/11/2024,1908640324,Meridian Health and Social Care Ltd,"£18,017.72"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,01/11/2024,1908623088,Redacted Personal Information,"£18,000.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,01/11/2024,1908623090,Redacted Personal Information,"£18,000.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908629899,Inspire Childrens Services Ltd,"£17,926.99"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908629898,Inspire Childrens Services Ltd,"£17,926.99"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,14/11/2024,5105960174,Youbus Ltd,"£17,923.00"
Manchester City Council,Corporate Services,Training and Development,29/11/2024,5105962745,DB Coaching & Consultancy Limited,"£17,920.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642691,Church Walk Healthcare Ltd,"£17,915.72"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642692,Church Walk Healthcare Ltd,"£17,915.72"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,20/11/2024,5105960569,Engineering Systems & Projects Ltd,"£17,898.07"
Manchester City Council,Adult Social Care,Supported Accommodation,04/11/2024,1908624081,Creative Support Ltd,"£17,892.48"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642310,Ryecourt Limited,"£17,801.08"
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,28/11/2024,5105963085,R Development Ltd,"£17,794.75"
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,12/11/2024,1908631532,Didsbury Childminding Limited,"£17,734.27"
Manchester City Council,Corporate Services,Rents,28/11/2024,1908641694,Habro Property Management Ltd,"£17,715.73"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,29/11/2024,5105962774,Supreme Start LTD,"£17,708.34"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,21/11/2024,5105958603,Biffa Municipal Limited,"£17,696.51"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642565,Brownlow House,"£17,686.72"
Manchester City Council,Adult Social Care,Supported Accommodation,27/11/2024,1908646863,Bedspace Resource Ltd,"£17,648.16"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,01/11/2024,1908623148,Redacted Personal Information,"£17,608.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630044,Redacted Personal Information,"£17,608.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,22/11/2024,1908643014,FOUR BRANCHES LTD,"£17,585.65"
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,12/11/2024,1908630806,WMB Born2win Day Nursery,"£17,566.57"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,15/11/2024,5105960191,Old Moat Youth Outreach Project,"£17,550.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,29/11/2024,1908642632,Progress Care & Education Ltd,"£17,537.60"
Manchester City Council,Adult Social Care,Supported Accommodation,19/11/2024,1908638675,Gian Healthcare Ltd,"£17,472.00"
Manchester City Council,Childrens & Education Services,Professional fees,13/11/2024,5105959946,The Movez Movement,"£17,465.77"
Manchester City Council,Childrens & Education Services,Professional fees,12/11/2024,5105959690,The Movez Movement,"£17,465.77"
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,12/11/2024,1908631586,Kids Start Ltd,"£17,439.19"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642325,Brocklehurst Nursing Home,"£17,435.16"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642335,Cambian Whinfell School Ltd,"£17,420.08"
Manchester City Council,Chief Executives,Legal Fees,11/11/2024,5105959256,Weightmans LLP Solicitors,"£17,398.75"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,19/11/2024,5105960954,EQUANS Regeneration Limited,"£17,392.58"
Manchester City Council,Manchester Leisure,Rents,06/11/2024,5105958571,Eeven Homes Ltd.,"£17,348.00"
Manchester City Council,Manchester Leisure,Rents,11/11/2024,5105959110,Eeven Homes Ltd.,"£17,348.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642448,Redacted Personal Information,"£17,316.92"
Manchester City Council,Manchester Leisure,Professional fees,29/11/2024,5105962677,Savills (UK) Ltd,"£17,285.00"
Manchester City Council,Adult Social Care,Home Care ,29/11/2024,1908657619,Meridian Health and Social Care Ltd,"£17,273.69"
Manchester City Council,Corporate Services,Elec Car L-VAT contr,19/11/2024,1908638448,Northumbria Healthcare NHS FT,"£17,219.92"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642470,Kingarth,"£17,157.04"
Manchester City Council,Manchester Leisure,Rents,28/11/2024,5105962357,Eeven Homes Ltd.,"£17,155.00"
Manchester City Council,Manchester Leisure,Rents,18/11/2024,5105960708,Eeven Homes Ltd.,"£17,155.00"
Manchester City Council,Childrens & Education Services,Professional fees,05/11/2024,1908614241,Greater Manchester Immigration Aid,"£17,091.00"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,06/11/2024,5105958580,Greater Manchester Mental Health,"£17,091.00"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,25/11/2024,5105961691,Greater Manchester Mental Health,"£17,091.00"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,06/11/2024,5105958324,NHS GREATER MANCHESTER ICB,"£17,083.27"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642715,Park Crescent Care Home,"£17,061.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,01/11/2024,1908623150,Redacted Personal Information,"£17,040.00"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,25/11/2024,5105960242,EQUANS Regeneration Limited,"£16,938.88"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642514,Care Concepts Ltd,"£16,895.08"
Manchester City Council,Corporate Services,Fees,06/11/2024,1908617751,Jacobs Enforcement Ltd,"£16,884.85"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642447,Heightside House Nursing Home,"£16,873.52"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,29/11/2024,5105962206,Manchester Action On Street Health,"£16,853.00"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,13/11/2024,5105960101,Corstorphine & Wright Limited,"£16,848.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642718,Oakland House,"£16,822.68"
Manchester City Council,Childrens & Education Services,Pay School Budget,12/11/2024,1908630678,Collyhurst Nursery School,"£16,812.37"
Manchester City Council,Childrens & Education Services,Professional fees,29/11/2024,5105963733,Digital Advantage,"£16,792.00"
Manchester City Council,Adult Social Care,Supported Accommodation,04/11/2024,1908624129,Mediline Supported Living,"£16,782.24"
Manchester City Council,Adult Social Care,Supported Accommodation,04/11/2024,1908624121,Mediline Supported Living,"£16,779.72"
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,13/11/2024,5105960143,Quays Housing,"£16,777.00"
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,13/11/2024,5105960142,Quays Housing,"£16,777.00"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,28/11/2024,5105963150,The Greens ENS,"£16,743.99"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642605,Standwalk Ltd,"£16,742.56"
Manchester City Council,Adult Social Care,Home Care ,25/11/2024,1908643706,Meridian Health and Social Care Ltd,"£16,714.46"
Manchester City Council,Adult Social Care,Supported Accommodation,04/11/2024,1908624139,Standwalk Ltd,"£16,674.56"
Manchester City Council,Highways Services,Subsistence and Conference Expenses,21/11/2024,5105961559,Bike Right,"£16,670.00"
Manchester City Council,Highways Services,Payments to Sub-Contractors,29/11/2024,5105961451,Rosgal Ltd,"£16,625.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642718,Oakland House,"£16,578.00"
Manchester City Council,Childrens & Education Services,Court Fees,25/11/2024,1908644086,Liberata,"£16,565.00"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642599,Silverdene Residential Home Ltd,"£16,559.40"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642590,Stockdales,"£16,521.76"
Manchester City Council,Chief Executives,ICT Sup & Maintnance,28/11/2024,5105962084,Elected Technologies,"£16,500.00"
Manchester City Council,Corporate Services,Car Parking Permits,29/11/2024,5105960272,Patrol Bus Lanes,"£16,465.25"
Manchester City Council,Adult Social Care,Home Care ,25/11/2024,1908643705,Meridian Health and Social Care Ltd,"£16,445.02"
Manchester City Council,Childrens & Education Services,Payments for services,22/11/2024,5105962075,Enhance EHC Ltd,"£16,444.40"
Manchester City Council,Environment and Operations,Construction Works,29/11/2024,5105961298,J.Hopkins (Contractors) Ltd.,"£16,442.02"
Manchester City Council,Adult Social Care,Supported Accommodation,19/11/2024,1908638651,The Crescent,"£16,419.36"
Manchester City Council,Environment and Operations,Construction Works,06/11/2024,5105958371,J.Hopkins (Contractors) Ltd.,"£16,417.17"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,20/11/2024,5105960932,The Harmony Trust Ltd,"£16,347.50"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642634,Willows Nursing Home,"£16,344.32"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908629871,Hexagon Care Services Limited,"£16,322.65"
Manchester City Council,Environment and Operations,Construction Works,25/11/2024,5105960126,J.Hopkins (Contractors) Ltd.,"£16,280.73"
Manchester City Council,Environment and Operations,Construction Works,29/11/2024,5105963036,J.Hopkins (Contractors) Ltd.,"£16,262.11"
Manchester City Council,Hospitality + Trading Services,Electricity,14/11/2024,1908636217,Haven Power Ltd,"£16,254.74"
Manchester City Council,Adult Social Care,Home Care ,20/11/2024,1908640325,Meridian Health and Social Care Ltd,"£16,248.68"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630034,Roc Northwest Ltd,"£16,137.32"
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,12/11/2024,1908631585,Kids Planet Wythenshawe,"£16,121.21"
Manchester City Council,Adult Social Care,Residential Care Homes Payments,22/11/2024,1908642405,Abbeyfield UK,"£16,080.20"
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,19/11/2024,5105961132,Armitage CE Primary School,"£16,063.00"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,11/11/2024,5105958039,K L Properties,"£15,974.00"
Manchester City Council,Childrens & Education Services,Foster Payments,29/11/2024,1908657446,St Helens Council,"£15,947.14"
Manchester City Council,Adult Social Care,Home Care ,14/11/2024,1908635852,Age Concern Manchester,"£15,939.00"
Manchester City Council,Adult Social Care,Supported Accommodation,19/11/2024,1908638673,Gian Healthcare Ltd,"£15,926.40"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642718,Oakland House,"£15,857.64"
Manchester City Council,Manchester Leisure,Payments to Contractors,21/11/2024,5105960681,NSL Ltd,"£15,836.08"
Manchester City Council,Manchester Leisure,Payments to Contractors,21/11/2024,5105960685,NSL Ltd,"£15,836.08"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908629872,Hexagon Care Services Limited,"£15,832.90"
Manchester City Council,Chief Executives,Counsel Costs,07/11/2024,1908623613,DEANS COURT CHAMBERS,"£15,800.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,01/11/2024,1908623099,Hexagon Care Services Limited,"£15,796.11"
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,04/11/2024,5105957951,Warden Construction Ltd,"£15,788.67"
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,12/11/2024,1908630665,Brighter Beginnings Newton Heath,"£15,785.82"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,29/11/2024,5105962908,K L Properties,"£15,753.43"
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,13/11/2024,5105959908,Standard Fuels Oils,"£15,690.55"
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,13/11/2024,5105958612,Standard Fuels Oils,"£15,690.55"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,08/11/2024,5105959050,Sumi Travel Ltd.,"£15,664.00"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642551,Norlands Nursing Home,"£15,657.00"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,25/11/2024,5105961980,K L Properties,"£15,650.00"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,18/11/2024,5105960630,K L Properties,"£15,650.00"
Manchester City Council,Adult Social Care,Supported Accommodation,04/11/2024,1908623811,Praxis Care Bury Supported Living,"£15,636.56"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630030,Roc Northwest Ltd,"£15,616.76"
